City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Country,Wind Speed,Date
Road Town,18.42,-64.62,77.0,73,40,VG,14.99,1609378245
Alekseyevka,50.63,38.69,31.3,98,100,RU,11.1,1609378248
Provideniya,64.38,-173.3,26.6,79,75,RU,13.42,1609378249
Berlevåg,70.86,29.09,25.72,93,18,NO,16.58,1609378250
Magistral'nyy,56.17,107.45,-31.56,82,86,RU,1.41,1609378251
Paita,-5.09,-81.11,68.74,82,95,PE,15.35,1609378252
Takoradze,4.88,-1.76,79.5,87,89,GH,6.82,1609378254
Huntsville,34.73,-86.59,61.0,63,90,US,8.05,1609378011
Quryq,43.2,51.65,35.19,82,0,KZ,18.32,1609378257
Faya,18.39,42.45,55.4,93,0,SA,4.7,1609378258
Gurupá,-1.41,-51.64,75.58,89,96,BR,4.05,1609378259
Naze,28.37,129.48,51.8,81,75,JP,16.11,1609378260
Vila Praia de Âncora,41.81,-8.85,55.99,100,90,PT,4.7,1609378261
Pevek,69.7,170.31,-15.79,89,100,RU,13.91,1609378263
Clyde River,70.47,-68.59,-5.8,91,75,CA,4.7,1609378264
San Luis,-33.3,-66.34,66.43,26,0,AR,15.57,1609378030
Shelburne,44.08,-80.2,37.0,99,100,CA,20.96,1609378267
Englewood,39.65,-104.99,32.0,36,20,US,4.7,1609377989
Mtinko,-4.55,34.85,61.3,88,100,TZ,3.13,1609378270
Edson,53.58,-116.44,17.6,85,75,CA,2.37,1609378013
Władysławowo,54.79,18.4,33.01,92,0,PL,4.7,1609378272
Trairi,-3.28,-39.27,79.74,80,0,BR,10.47,1609378185
Mitú,1.2,-70.17,72.82,96,98,CO,2.44,1609378274
Wynyard,-41.0,145.72,69.01,54,1,AU,10.0,1609378275
Iqaluit,63.75,-68.51,-2.2,70,75,CA,3.36,1609378277
Mollendo,-17.02,-72.01,70.9,76,87,PE,4.34,1609378278
Virovitica,45.83,17.38,42.01,96,100,HR,1.01,1609378279
Yerbogachën,61.28,108.01,-25.89,85,100,RU,4.14,1609378280
Praia da Vitória,38.73,-27.07,57.0,82,40,PT,14.52,1609378281
Ji’an,27.12,114.98,35.6,73,0,CN,7.02,1609378282
Kriel,-26.27,29.23,63.0,94,100,ZA,1.99,1609378284
Nyurba,63.28,118.33,-18.08,87,100,RU,6.55,1609378285
Katsuura,35.13,140.3,41.0,23,20,JP,13.87,1609378286
Melo,-32.37,-54.18,69.01,82,100,UY,8.77,1609378087
Oddur,4.12,43.89,71.73,77,20,SO,17.92,1609378288
Kuusamo,65.97,29.18,21.2,92,90,FI,8.05,1609378289
Camopi,3.17,-52.32,72.36,96,30,GF,1.79,1609378292
Saint John,45.27,-66.07,35.6,73,75,CA,2.24,1609378204
Shaoxing,30.01,120.57,26.6,42,0,CN,11.18,1609378294
Batagay-Alyta,67.8,130.41,-18.65,80,69,RU,4.43,1609378297
Vila Velha,-20.33,-40.29,77.0,78,0,BR,8.05,1609378298
Senneterre,48.38,-77.23,23.0,92,90,CA,11.41,1609378299
Kaitong,44.81,123.15,2.91,73,0,CN,11.61,1609378300
Tabas,33.6,56.92,35.6,51,0,IR,2.24,1609378301
Taoudenni,22.68,-3.98,69.1,25,0,ML,7.23,1609378302
Heinola,61.21,26.04,34.0,100,90,FI,9.17,1609378304
Terrace,54.52,-128.6,30.2,92,90,CA,17.22,1609378305
Camacha,33.08,-16.33,59.0,72,20,PT,11.41,1609378306
General Roca,-39.03,-67.58,71.6,33,0,AR,9.17,1609378077
Kaitangata,-46.28,169.85,64.99,72,100,NZ,5.99,1609378308
Havre-St-Pierre,50.23,-63.6,8.6,71,90,CA,11.41,1609378309
Ende,-8.84,121.66,84.09,70,73,ID,3.0,1609378311
Aplahoué,6.93,1.68,76.32,86,65,BJ,5.44,1609378312
Yuli,9.7,10.27,72.3,25,78,NG,7.0,1609378313
Pierre,44.37,-100.35,14.0,78,1,US,3.36,1609378217
Karratha,-20.74,116.85,95.2,38,10,AU,5.73,1609378315
Mwadui,-3.55,33.6,67.05,87,100,TZ,4.79,1609378317
Saint George,37.1,-113.58,43.0,28,1,US,3.02,1609378199
Esperance,-33.87,121.9,62.6,88,90,AU,10.29,1609378235
Burgeo,47.62,-57.62,25.75,89,12,CA,20.24,1609378320
Bredasdorp,-34.53,20.04,57.2,87,1,ZA,5.82,1609378321
Bredy,52.42,60.34,3.06,91,100,RU,4.0,1609378322
Upata,8.01,-62.4,72.0,94,82,VE,1.01,1609378323
Banda Aceh,5.56,95.32,80.76,75,70,ID,11.34,1609378325
Saint-Joseph,-21.37,55.62,75.2,83,20,RE,19.46,1609378206
Meulaboh,4.14,96.13,77.58,86,100,ID,7.4,1609378327
Port Blair,11.67,92.75,78.8,78,20,IN,6.93,1609378329
Cimarron Hills,38.86,-104.7,24.01,57,20,US,5.82,1609378330
Coihueco,-36.62,-71.83,68.0,34,0,CL,14.99,1609378333
Linjiang,41.81,126.91,1.63,78,100,CN,9.1,1609378334
Santa Inês,-3.67,-45.38,74.3,93,100,BR,3.69,1609378337
Arraial do Cabo,-22.97,-42.03,75.31,82,100,BR,26.15,1609378339
Sharlyk,52.92,54.75,1.51,92,98,RU,3.87,1609378340
Tiksi,71.69,128.87,-17.72,88,43,RU,6.64,1609378341
Hong Kong,22.29,114.16,48.99,35,3,HK,1.99,1609378217
Mathbaria,22.29,89.96,63.16,57,0,BD,6.2,1609378343
Northam,51.03,-4.22,39.0,86,92,GB,4.0,1609378153
Ngama,11.78,17.17,71.33,25,100,TD,8.66,1609378346
Ryde,50.73,-1.16,35.01,94,0,GB,3.0,1609378347
Udimskiy,61.14,45.91,5.45,95,96,RU,4.88,1609378349
Irondequoit,43.21,-77.58,45.0,80,90,US,20.8,1609378350
Ndioum,16.51,-14.65,82.4,37,0,SN,2.24,1609378351
Meridian,43.61,-116.39,34.0,86,87,US,4.7,1609378353
Aykhal,66.0,111.5,-14.8,83,0,RU,6.71,1609378354
Kongoussi,13.33,-1.53,69.53,20,0,BF,7.27,1609378355
Jeremoabo,-10.07,-38.48,68.65,80,0,BR,7.87,1609378356
Geraldton,-28.77,114.6,77.0,65,1,AU,9.17,1609378252
Lishan,31.86,113.3,28.47,62,0,CN,3.0,1609378152
Nanuque,-17.84,-40.35,70.63,89,0,BR,6.22,1609378359
Alyangula,-13.85,136.42,86.0,74,75,AU,8.05,1609378361
Tūkrah,32.53,20.58,57.67,50,0,LY,12.33,1609378362
Mayor Pablo Lagerenza,-19.93,-60.77,84.4,55,19,PY,8.39,1609378363
Constitución,-35.33,-72.42,60.96,55,0,CL,14.88,1609378256
Naryan-Mar,67.67,53.09,-20.58,84,0,RU,10.22,1609378365
Mīnāb,27.15,57.08,48.2,49,40,IR,4.7,1609378366
Alugan,12.22,125.48,82.09,82,78,PH,14.41,1609378368
Krasnosel'kup,65.7,82.47,-16.49,82,7,RU,10.27,1609378369
Mayo,38.89,-76.51,44.01,56,1,US,8.05,1609378370
Mukhen,48.1,136.1,-9.96,81,89,RU,3.53,1609378371
Dunedin,-45.87,170.5,61.97,74,100,NZ,12.59,1609378295
Nurlat,54.43,50.81,4.5,95,94,RU,7.07,1609378373
Velikodvorskiy,55.25,40.67,26.55,98,100,RU,9.19,1609378375
Lashio,22.93,97.75,59.52,62,0,MM,0.81,1609378376
Auki,-8.77,160.7,85.73,61,99,SB,3.65,1609378378
Vega de Alatorre,20.03,-96.63,71.98,78,0,MX,15.01,1609378379
Fort Nelson,58.81,-122.7,8.6,92,90,CA,3.36,1609378382
Marawi,8.0,124.29,82.99,78,100,PH,4.0,1609378383
Myitkyina,25.38,97.4,58.15,48,0,MM,2.04,1609378384
Leh,34.17,77.58,-4.61,50,0,IN,1.54,1609378386
Adrar,20.5,-10.07,67.19,32,58,MR,6.11,1609378387
Uppsala County,60.0,17.75,35.01,100,96,SE,3.36,1609378389
Bose,45.46,8.01,36.0,75,0,IT,3.98,1609378390
Goderich,43.75,-81.72,35.6,74,100,CA,21.92,1609378391
Mount Isa,-20.73,139.5,91.4,41,40,AU,12.75,1609378249
Griffith,41.53,-87.42,28.4,73,90,US,13.87,1609378316
Martapura,-3.42,114.85,75.2,94,40,ID,3.36,1609378171
Muros,42.78,-9.06,52.0,90,100,ES,17.9,1609378396
Yar-Sale,66.83,70.83,-17.0,89,93,RU,4.56,1609378398
Sladna,44.73,18.42,42.8,100,90,BA,1.12,1609378399
Bandarbeyla,9.49,50.81,74.17,69,67,SO,17.05,1609378400
Laguna,38.42,-121.42,54.0,58,40,US,8.05,1609378207
Bayir,37.27,28.22,55.4,76,75,TR,6.93,1609378402
Darnah,32.77,22.64,58.84,51,0,LY,18.12,1609378404
Aripuanã,-9.17,-60.63,73.62,97,100,BR,2.21,1609378405
Bosaso,11.28,49.18,71.65,73,79,SO,4.16,1609378406
Oranjemund,-28.55,16.43,61.29,89,9,NA,11.01,1609378407
Karasburg,-28.02,18.75,66.2,44,57,NA,11.25,1609378408
Muroto-misakicho,33.28,134.15,41.0,35,20,JP,11.41,1609378411
Moroni,-11.7,43.26,80.83,72,84,KM,1.5,1609378412
Alofi,-19.06,-169.92,78.8,94,75,NU,2.24,1609378413
La Primavera,5.49,-70.41,76.14,79,98,CO,5.55,1609378414
Tsimmerbude,54.67,20.13,32.0,89,11,RU,4.47,1609378415
Richards Bay,-28.78,32.04,73.35,86,83,ZA,3.42,1609378417
Basti,26.8,82.72,48.85,54,0,IN,7.72,1609378418
Atikokan,48.76,-91.62,7.63,95,100,CA,6.6,1609378419
Bara,10.37,10.73,70.2,25,20,NG,8.9,1609378420
Dordrecht,51.81,4.67,39.0,92,100,NL,3.0,1609378265
Shar,49.59,81.05,2.05,93,100,KZ,6.4,1609378422
Al Bardīyah,31.76,25.09,57.04,77,37,LY,6.35,1609378424
Moyobamba,-6.05,-76.97,68.54,85,77,PE,0.81,1609378425
Acaponeta,22.5,-105.36,58.42,81,96,MX,1.14,1609378426
Ponta Delgada,37.73,-25.67,55.4,71,75,PT,9.17,1609378427
Parung,-6.42,106.73,84.99,76,96,ID,7.52,1609378428
Labuhan,-6.88,112.21,79.05,83,100,ID,7.65,1609378429
Ukiah,39.15,-123.21,48.2,81,90,US,8.05,1609378352
Avera,33.19,-82.53,53.6,87,90,US,6.93,1609378432
Inhambane,-23.86,35.38,80.35,86,97,MZ,8.1,1609378433
Turukhansk,65.82,87.98,-15.47,78,1,RU,6.53,1609378434
Ginir,7.13,40.7,57.72,86,60,ET,3.29,1609378435
Harlingen,26.19,-97.7,75.0,83,75,US,16.11,1609378437
Sydney Mines,46.24,-60.22,26.01,73,75,CA,10.29,1609378438
Maridi,4.92,29.47,74.59,36,91,SS,1.95,1609378439
Juradó,7.11,-77.76,75.52,87,81,CO,2.75,1609378442
Comerío,18.22,-66.23,77.0,94,19,PR,10.98,1609378444
Killybegs,54.63,-8.45,33.01,94,39,IE,4.0,1609378445
Āsbe Teferī,9.08,40.87,57.9,80,18,ET,0.85,1609378446
Codrington,-38.27,141.97,62.38,67,0,AU,18.21,1609378447
Ayan,56.45,138.17,-18.72,77,94,RU,12.19,1609378448
Chapais,49.78,-74.85,14.0,85,90,CA,9.17,1609378361
Alta Floresta,-9.88,-56.09,71.8,95,90,BR,2.15,1609378160
Orlik,52.52,99.83,-9.6,64,100,RU,0.36,1609378452
Asău,46.43,26.4,41.0,100,40,RO,11.41,1609378453
Hay River,60.82,-115.8,1.4,77,65,CA,6.93,1609378454
San-Pédro,4.75,-6.64,78.49,86,0,CI,6.29,1609378455
Canutama,-6.53,-64.38,71.91,98,41,BR,1.81,1609378236
Baruun-Urt,46.68,113.28,-10.53,82,0,MN,8.52,1609378459
Mossamedes,-15.2,12.15,69.42,76,100,AO,5.3,1609378460
Abu Kamal,34.45,40.92,47.19,52,0,SY,2.68,1609378461
Stepnyak,52.83,70.78,-16.53,88,23,KZ,8.3,1609378462
Ceyhan,37.02,35.82,44.6,70,0,TR,3.36,1609378464
Katubao,5.89,124.83,80.6,78,75,PH,4.7,1609378465
Melendugno,40.27,18.34,46.4,100,40,IT,5.82,1609378466
Iskateley,67.68,53.15,-20.74,84,0,RU,10.16,1609378467
Adelaide,-34.93,138.6,79.0,33,20,AU,10.29,1609378459
Levittown,40.16,-74.83,39.99,64,75,US,8.05,1609378470
Nantucket,41.28,-70.1,44.6,81,1,US,13.87,1609378471
Leningradskiy,69.38,178.42,-5.57,90,100,RU,8.1,1609378472
Huambo,-12.78,15.74,59.61,88,100,AO,2.64,1609378473
Denpasar,-8.65,115.22,82.4,78,40,ID,5.82,1609378325
Kabare,-2.47,28.82,60.13,82,99,CD,1.1,1609378475
